,Company,Name,Model,Kms_Driven,Model Year,Reg Year,City,Engine Capacity,Insurance,Automatic,Power,Fuel Type,Ownership,Number of Seats,Mileage,X-factor,Price
3774,Hyundai,Verna,"['SX', 'IVT']",16330,2022,2022,Ahmedabad,1497,2,True,113.18,0,1,5,18.45,Sedan,1289000
3775,Volkswagen,Vento,"['1.5', 'TDI', 'Highline']",81113,2015,2016,Ahmedabad,1498,1,False,103.2,1,2,5,20.34,Sedan,513000
3776,Tata,Tiago,"['1.2', 'Revotron', 'XZA']",120830,2018,2019,Ahmedabad,1199,1,True,83.83,0,1,5,23.84,Hatchback,446000
3777,Volkswagen,Polo,"['Diesel', 'Highline', '1.2L']",90000,2011,2011,Ahmedabad,1199,1,False,73.9,1,5,5,22.07,Hatchback,200000
3778,Honda,City,"['V', 'AT']",120000,2010,2010,Ahmedabad,1497,1,True,116.3,0,1,5,15.6,Sedan,500000
3779,Hyundai,i10,"['Magna', '1.2']",80000,2009,2009,Ahmedabad,1197,1,False,78.9,0,3,5,20.36,Hatchback,157000
3780,Mahindra,Thar,"['CRDe', 'AC']",40000,2014,2014,Ahmedabad,2498,1,False,105.0,1,1,6,16.55,SUV,500000
3781,BMW,6,"['Series', '640d', 'Coupe']",60000,2012,2012,Ahmedabad,2993,1,True,313.0,1,2,4,9.52,BMW,3050000
3782,Renault,Duster,"['110PS', 'Diesel', 'RxZ']",120000,2013,2013,Ahmedabad,1461,1,False,108.45,1,2,5,19.01,SUV,400000
3783,Honda,City,"['1.5', 'S', 'MT']",50000,2009,2009,Ahmedabad,1497,1,False,118.0,0,2,5,17.0,Sedan,265000
3784,Toyota,Fortuner,"['4x4', 'MT']",120000,2012,2012,Ahmedabad,2982,1,False,168.5,1,2,7,12.55,SUV,800000
3785,Maruti,Swift,['VDI'],114919,2012,2012,Ahmedabad,1248,2,False,74.0,1,3,5,22.9,Hatchback,326000
3786,Honda,Jazz,"['1.2', 'S', 'AT', 'i', 'VTEC']",112010,2015,2015,Ahmedabad,1199,1,True,88.7,0,2,5,19.0,Hatchback,395000
3787,Maruti,Ciaz,"['ZDi', 'Plus', 'SHVS']",98295,2015,2016,Ahmedabad,1248,2,False,88.5,1,1,5,28.09,Sedan,528000
3788,Maruti,Alto,"['800', 'LXI']",12496,2018,2018,Ahmedabad,796,1,False,47.33,0,2,5,22.05,Hatchback,318000
3789,Renault,Triber,['RXT'],33367,2019,2019,Ahmedabad,999,3,False,71.01,0,2,7,20.0,MUV,529000
3790,Tata,Tiago,"['XT', 'BSVI']",25220,2021,2021,Ahmedabad,1199,1,False,84.82,0,1,5,19.01,Hatchback,564000
3791,Maruti,Alto,"['800', 'LXI']",71424,2018,2018,Ahmedabad,796,1,False,47.33,0,1,5,22.05,Hatchback,295000
3792,Honda,Amaze,"['S', 'Petrol', 'BSIV']",33195,2018,2018,Ahmedabad,1199,3,False,88.76,0,1,5,19.5,Sedan,664000
3793,Hyundai,i10,"['Magna', '1.1L']",66858,2012,2013,Ahmedabad,1086,1,False,68.05,0,1,5,19.81,Hatchback,268000
3794,Honda,Amaze,"['E', 'i-Vtech']",57245,2016,2016,Ahmedabad,1198,2,False,86.7,0,1,5,18.0,Sedan,420000
3795,Maruti,Celerio,['ZXI'],53494,2016,2016,Ahmedabad,998,3,False,65.71,0,1,5,25.24,Hatchback,416000
3797,Maruti,Alto,"['800', 'LXI', 'S-CNG']",30000,2021,2021,Ahmedabad,796,1,False,40.36,2,1,4,31.59,Hatchback,450000
3798,Maruti,Wagon,"['R', 'LXI', 'BSIII']",70000,2010,2010,Ahmedabad,998,1,False,67.1,0,3,5,18.9,Hatchback,178000
3799,Mahindra,XUV500,"['W11', 'Option', 'BSIV']",60000,2019,2019,Ahmedabad,2179,1,False,152.87,1,1,7,15.1,SUV,1200000
3800,Honda,Civic,"['1.8', 'V', 'MT']",60000,2008,2008,Ahmedabad,1799,1,False,130.0,0,4,5,13.5,Sedan,190000
3801,Maruti,Wagon,"['R', 'LXI', 'BS', 'IV']",80000,2013,2013,Ahmedabad,998,1,False,67.04,0,2,5,20.51,Hatchback,270000
3802,Tata,Indigo,"['VX', 'BSIV']",100000,2012,2012,Ahmedabad,1396,1,False,69.0,1,1,5,25.0,Sedan,150000
3803,Maruti,Swift,"['Dzire', 'VXI', '1.2', 'BS', 'IV']",40000,2018,2018,Ahmedabad,1197,1,False,81.8,0,2,5,22.0,Sedan,650000
3804,Hyundai,i10,"['Sportz', '1.2']",87197,2010,2010,Ahmedabad,1197,2,False,78.9,0,3,5,20.36,Hatchback,188000
3805,Mahindra,XUV300,"['W4', 'BSVI']",22162,2022,2022,Ahmedabad,1197,1,False,108.62,0,1,5,16.82,SUV,794000
3806,Tata,New,"['Safari', 'XZA', 'Plus', 'Gold', 'AT']",20386,2022,2022,Ahmedabad,1956,3,True,167.67,1,1,7,14.08,SUV,2304000
3807,Honda,City,"['ZX', 'CVT']",20984,2020,2020,Ahmedabad,1498,2,True,119.35,0,1,5,18.3,Sedan,1223000
3808,Maruti,Wagon,"['R', 'VXI', 'BS', 'IV']",66783,2014,2014,Ahmedabad,998,2,False,67.04,0,1,5,20.51,Hatchback,354000
3809,Hyundai,i10,"['Magna', '1.1L']",31170,2015,2015,Ahmedabad,1086,1,False,68.05,0,1,5,19.81,Hatchback,351000
3810,Hyundai,Grand,"['i10', '1.2', 'Kappa', 'Magna', 'BSIV']",54748,2017,2017,Ahmedabad,1197,3,False,81.86,0,1,5,18.9,Hatchback,491000
3811,Honda,Jazz,"['1.2', 'S', 'i', 'VTEC']",58730,2016,2016,Ahmedabad,1199,1,False,88.7,0,1,5,18.7,Hatchback,443000
3812,Honda,City,"['i', 'VTEC', 'CVT', 'VX']",62802,2017,2017,Ahmedabad,1497,2,True,117.3,0,1,5,18.0,Sedan,742000
3813,Hyundai,Grand,"['i10', 'Sportz']",106853,2016,2016,Ahmedabad,1197,1,False,82.0,0,1,5,18.9,Hatchback,415000
3814,Honda,Brio,"['S', 'MT']",75029,2014,2014,Ahmedabad,1198,1,False,86.8,0,2,5,19.4,Hatchback,391000
3815,Maruti,Ignis,"['1.2', 'AMT', 'Alpha', 'BSIV']",36124,2018,2018,Ahmedabad,1197,1,True,81.8,0,1,5,20.89,Hatchback,629000
3816,Hyundai,EON,"['D', 'Lite', 'Plus']",50000,2014,2014,Ahmedabad,814,1,False,55.2,0,1,5,21.1,Hatchback,200000
3817,Hyundai,EON,"['D', 'Lite', 'Plus']",50000,2014,2014,Ahmedabad,814,1,False,55.2,0,1,5,21.1,Hatchback,200000
3818,Hyundai,i10,"['Magna', '1.2']",120000,2009,2009,Ahmedabad,1197,1,False,78.9,0,5,5,20.36,Hatchback,160000
3819,Kia,Seltos,"['HTX', 'IVT', 'G']",40000,2020,2020,Ahmedabad,1497,1,True,113.42,0,1,5,16.8,SUV,1300000
3820,Hyundai,Accent,"['Executive', 'CNG']",120000,2013,2013,Ahmedabad,1495,1,False,93.7,2,2,5,13.2,Sedan,175000
3821,Maruti,Baleno,['Alpha'],30000,2022,2022,Ahmedabad,1197,1,False,81.8,0,2,5,21.01,Hatchback,825000
3822,Skoda,Kushaq,"['1.0', 'TSI', 'Style', 'BSVI']",20000,2022,2022,Ahmedabad,999,1,False,113.98,0,1,5,19.2,SUV,1500000
3823,Hyundai,Grand,"['i10', 'Nios', 'Sportz']",30000,2021,2021,Ahmedabad,1197,1,False,81.86,0,1,5,20.7,Hatchback,680000
3824,Ford,Ecosport,"['1.5', 'TDCi', 'Titanium', 'Plus', 'BSIV']",81980,2016,2016,Ahmedabad,1498,1,False,98.59,1,1,5,22.77,SUV,605000
3825,Maruti,Eeco,"['5', 'Seater', 'AC', 'BSIV']",30023,2019,2019,Ahmedabad,1196,1,False,73.0,0,1,5,15.37,Minivans,473000
3826,Maruti,Celerio,"['ZXI', 'AT']",96350,2017,2017,Ahmedabad,998,1,True,67.04,0,2,5,23.1,Hatchback,403000
3827,Maruti,Celerio,"['ZXI', 'Plus']",4882,2022,2022,Ahmedabad,998,2,False,65.71,0,1,5,24.97,Hatchback,622000
3828,Kia,Seltos,"['HTX', 'G']",95978,2020,2020,Ahmedabad,1497,1,False,113.43,0,2,5,16.8,SUV,860000
3829,Maruti,Wagon,"['R', 'LXI', 'CNG']",87844,2012,2012,Ahmedabad,998,1,False,58.2,2,1,5,26.2,Hatchback,323000
3830,Maruti,Swift,"['Dzire', 'VDI']",97025,2018,2018,Ahmedabad,1248,2,False,74.02,1,2,5,28.4,Sedan,614000
3831,Maruti,Swift,['VXI'],54364,2020,2020,Ahmedabad,1197,3,False,88.5,0,1,5,22.38,Hatchback,592000
3832,Hyundai,i20,"['Sportz', 'Plus', 'BSIV']",87935,2019,2019,Ahmedabad,1197,3,False,81.86,0,1,5,18.6,Hatchback,654000
3833,Honda,WR-V,"['i-VTEC', 'VX']",86605,2017,2017,Ahmedabad,1199,3,False,88.7,0,1,5,17.5,SUV,654000
3834,Honda,Amaze,"['S', 'i-Vtech']",104681,2016,2016,Ahmedabad,1198,1,False,86.7,0,1,5,18.0,Sedan,445000
3835,Hyundai,Grand,"['i10', '1.2', 'Kappa', 'Magna', 'BSIV']",56846,2019,2019,Ahmedabad,1197,2,False,81.86,0,1,5,18.9,Hatchback,520000
3836,Maruti,Swift,['VDI'],90000,2011,2011,Ahmedabad,1248,1,False,74.0,1,3,5,22.9,Hatchback,310000
3837,Maruti,Baleno,"['1.2', 'Delta']",120000,2018,2018,Ahmedabad,1197,1,False,83.1,0,1,5,21.4,Hatchback,480000
3838,Toyota,Etios,"['1.4', 'GXD']",100000,2017,2017,Ahmedabad,1364,1,False,67.05,1,1,5,23.59,Sedan,595000
3839,Honda,City,"['1.5', 'S', 'MT']",90000,2011,2011,Ahmedabad,1497,1,False,118.0,0,2,5,17.0,Sedan,310000
3840,Mahindra,TUV,"['300', 'mHAWK100', 'T8']",40000,2018,2018,Ahmedabad,1493,1,False,100.0,1,1,7,18.49,SUV,720000
3841,Tata,Manza,"['Club', 'Class', 'Quadrajet90', 'LS']",120000,2012,2012,Ahmedabad,1248,1,False,88.8,1,2,5,21.02,Sedan,150000
3842,Maruti,Swift,"['VVT', 'VXI']",30000,2014,2014,Ahmedabad,1197,1,False,81.8,0,2,5,22.0,Hatchback,380000
3843,Mahindra,Ssangyong,"['Rexton', 'RX7']",110000,2013,2013,Ahmedabad,2696,1,True,184.0,1,3,7,11.18,SUV,565000
