,Company,Name,Model,Kms_Driven,Model Year,Reg Year,City,Engine Capacity,Insurance,Automatic,Power,Fuel Type,Ownership,Number of Seats,Mileage,X-factor,Price
0,Maruti,Baleno,"['1.2', 'Alpha']",40000,2017,2017,Agra,1197,1,False,83.1,0,1,5,21.4,Hatchback,545000
1,Tata,Hexa,['XTA'],70000,2018,2018,Agra,2179,1,True,153.86,1,1,7,17.6,MUV,1000000
2,Maruti,Swift,"['Dzire', 'VXI']",70000,2015,2015,Agra,1197,1,False,83.14,0,2,5,20.85,Sedan,450000
3,Maruti,Swift,"['Dzire', 'VXI']",70000,2015,2015,Agra,1197,1,False,83.14,0,2,5,20.85,Sedan,450000
4,Hyundai,i10,"['Magna', '1.1']",80000,2009,2009,Agra,1086,1,False,68.05,0,1,5,19.81,Hatchback,160000
5,Hyundai,i20,"['Active', '1.2']",70000,2015,2015,Agra,1197,1,False,81.86,0,1,5,17.19,Hatchback,470000
6,Tata,Tiago,"['1.05', 'Revotorq', 'XZ']",120000,2017,2017,Agra,1047,1,False,69.0,1,1,5,27.28,Hatchback,360000
7,Hyundai,i10,"['Magna', '1.1']",60000,2010,2010,Agra,1086,1,False,68.05,0,2,5,19.81,Hatchback,200000
8,Maruti,Eeco,"['7', 'Seater', 'Standard', 'BSIV']",20000,2016,2016,Agra,1196,1,False,73.0,0,1,7,15.37,Minivans,370000
10,Honda,Amaze,"['E', 'i-Vtech']",70000,2014,2014,Agra,1198,1,False,86.7,0,1,5,18.0,Sedan,330000
11,Hyundai,Xcent,"['1.2', 'VTVT', 'SX']",60000,2018,2018,Agra,1197,1,False,81.86,0,2,5,20.14,Sedan,475000
12,Maruti,Ciaz,"['Sigma', 'BSIV']",50000,2020,2020,Agra,1462,1,False,103.25,0,3,5,21.56,Sedan,686000
13,Hyundai,Venue,"['SX', 'Opt', 'Executive', 'Diesel']",60000,2021,2021,Agra,1493,1,False,98.6,1,1,5,23.7,SUV,1250000
14,Hyundai,Venue,"['SX', 'Dual', 'Tone', 'Diesel', 'BSIV']",60000,2021,2021,Agra,1396,1,False,89.0,1,1,5,23.7,SUV,1100000
15,Maruti,Alto,"['K10', 'VXI', 'AGS', 'Optional']",20000,2019,2019,Agra,998,1,True,67.1,0,1,5,23.95,Hatchback,395000
16,Maruti,Wagon,"['R', 'LXI', 'CNG']",40000,2016,2016,Agra,998,1,False,58.16,2,1,5,26.6,Hatchback,350000
17,Toyota,Etios,['VX'],50000,2011,2011,Agra,1496,1,False,88.7,0,2,5,17.6,Sedan,289000
18,Toyota,Corolla,"['Altis', 'Diesel', 'D4DGL']",150000,2011,2011,Agra,1364,1,False,87.2,1,1,5,21.43,Sedan,282000
19,Kia,Sonet,"['HTX', 'Plus', 'Turbo', 'iMT', 'BSVI']",10000,2021,2021,Agra,998,1,False,118.36,0,1,5,18.2,SUV,1000000
20,Maruti,Ciaz,"['Alpha', 'BSVI']",30000,2020,2020,Agra,1462,1,False,103.25,0,2,5,20.65,Sedan,785000
21,Ford,Ecosport,"['1.5', 'DV5', 'MT', 'Ambiente']",150000,2014,2014,Agra,1498,1,False,89.84,1,3,5,22.7,SUV,300000
22,Mitsubishi,Outlander,['2.4'],80000,2011,2011,Agra,2360,1,True,170.0,0,2,5,11.3,SUV,397000
23,Maruti,Swift,"['Dzire', 'VDI']",20000,2015,2015,Agra,1248,1,False,74.0,1,1,5,26.59,Sedan,375000
24,Maruti,Alto,"['K10', 'LXI']",120000,2011,2011,Agra,998,1,False,67.1,0,3,5,20.92,Hatchback,100000
25,Mitsubishi,Outlander,['2.4'],80000,2011,2011,Agra,2360,1,True,170.0,0,2,5,11.3,SUV,397000
26,Maruti,Baleno,['Zeta'],40000,2021,2021,Agra,1197,1,False,81.8,0,1,5,21.01,Hatchback,675000
27,Hyundai,Xcent,"['1.2', 'VTVT', 'SX']",60000,2018,2018,Agra,1197,1,False,81.86,0,2,5,20.14,Sedan,465000
28,Maruti,Swift,"['Dzire', 'VXI']",80000,2015,2015,Agra,1197,1,False,83.14,0,2,5,20.85,Sedan,480000
29,Maruti,Alto,"['800', 'LXI']",100000,2014,2014,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,225000
30,Maruti,Wagon,"['R', 'VXI', 'Optional']",70000,2016,2016,Agra,998,1,False,67.04,0,2,5,20.51,Hatchback,320000
31,Hyundai,Grand,"['i10', 'Sportz']",30000,2015,2015,Agra,1197,1,False,82.0,0,1,5,18.9,Hatchback,415000
32,Maruti,Swift,['VDI'],120000,2012,2012,Agra,1248,1,False,74.0,1,3,5,22.9,Hatchback,240000
33,Mahindra,XUV500,"['W6', '2WD']",100000,2013,2013,Agra,2179,1,False,140.0,1,3,7,15.1,SUV,350000
34,Mahindra,XUV500,"['W6', '2WD']",100000,2013,2013,Agra,2179,1,False,140.0,1,3,7,15.1,SUV,350000
35,Tata,New,"['Safari', 'DICOR', '2.2', 'EX', '4x2']",90000,2013,2013,Agra,2179,1,False,138.1,1,2,7,11.57,SUV,296000
36,Tata,New,"['Safari', 'DICOR', '2.2', 'EX', '4x2']",90000,2013,2013,Agra,2179,1,False,138.1,1,2,7,11.57,SUV,296000
37,Tata,Tiago,"['1.2', 'Revotron', 'XE']",100000,2018,2018,Agra,1199,1,False,84.0,0,1,5,23.84,Hatchback,316000
38,Maruti,Vitara,"['Brezza', 'ZDi', 'Plus', 'Dual', 'Tone']",100000,2017,2017,Agra,1248,1,False,88.5,1,2,5,24.3,SUV,750000
39,Maruti,Ertiga,['VDI'],120000,2019,2019,Agra,1248,1,False,88.5,1,1,7,25.47,MUV,900000
40,Maruti,Celerio,"['VXI', 'BSVI']",10000,2022,2022,Agra,998,1,False,65.71,0,1,5,25.24,Hatchback,560000
41,Maruti,Vitara,"['Brezza', 'ZDi', 'Plus']",150000,2017,2017,Agra,1248,1,False,88.5,1,1,5,24.3,SUV,800000
42,Hyundai,Creta,"['1.4', 'E', 'Plus']",120000,2017,2017,Agra,1396,1,False,88.7,1,2,5,22.1,SUV,900000
43,Maruti,Alto,"['800', 'LXI']",80000,2019,2019,Agra,796,1,False,47.33,0,1,5,22.05,Hatchback,280000
44,Toyota,Innova,"['2.5', 'E', 'Diesel', 'MS', '7-seater']",90000,2013,2013,Agra,2494,1,False,100.6,1,2,7,11.4,Toyota,550000
45,Toyota,Innova,"['2.5', 'G', '(Diesel)', '7', 'Seater', 'BS', 'III']",150000,2009,2009,Agra,2494,1,False,102.0,1,1,8,12.8,MUV,250000
46,Tata,Manza,"['Aqua', 'Quadrajet']",150000,2011,2011,Agra,1248,1,False,90.0,1,1,5,18.8,Sedan,150000
47,Tata,Manza,"['Aqua', 'Quadrajet']",150000,2011,2011,Agra,1248,1,False,90.0,1,1,5,18.8,Sedan,150000
48,Hyundai,Grand,"['i10', '1.2', 'CRDi', 'Sportz', 'Option']",20000,2017,2017,Agra,1186,1,False,73.97,1,1,5,24.0,Hatchback,480000
49,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC', 'BSIV']",150000,2017,2017,Agra,1196,1,False,61.7,2,1,5,21.94,Minivans,300000
50,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC', 'BSIV']",150000,2017,2017,Agra,1196,1,False,61.7,2,1,5,21.94,Minivans,300000
51,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC', 'BSIV']",150000,2017,2017,Agra,1196,1,False,61.7,2,1,5,21.94,Minivans,300000
52,Audi,A4,"['2.0', 'TDI']",30000,2014,2014,Agra,1968,1,True,147.51,1,2,5,16.55,Sedan,1200000
53,Hyundai,i20,"['Sportz', 'BSVI']",10000,2022,2022,Agra,1197,1,False,81.8,0,1,5,21.0,Hatchback,800000
54,Volkswagen,Polo,"['Diesel', 'Trendline', '1.2L']",80000,2012,2012,Agra,1199,1,False,73.9,1,5,5,22.07,Hatchback,200000
55,Maruti,Vitara,"['Brezza', 'VDi']",80000,2019,2019,Agra,1248,1,False,88.5,1,2,5,24.3,SUV,740000
56,Hyundai,Santro,"['Xing', 'GLS']",30000,2009,2009,Agra,1086,1,False,62.1,0,1,5,17.92,Hatchback,150000
57,Maruti,Swift,"['Dzire', 'VDI']",30000,2016,2016,Agra,1248,1,False,74.0,1,1,5,26.59,Sedan,520000
58,Hyundai,i10,"['Sportz', '1.2']",80000,2010,2010,Agra,1197,1,False,78.9,0,3,5,20.36,Hatchback,170000
59,Hyundai,Venue,"['S', 'BSIV']",30000,2021,2021,Agra,1197,1,False,81.86,0,1,5,17.52,SUV,710000
60,Skoda,Rapid,"['1.0', 'TSI', 'Onyx']",20000,2021,2021,Agra,999,1,False,108.62,0,1,5,18.97,Sedan,950000
61,Ford,Figo,"['Diesel', 'ZXI']",70000,2013,2013,Agra,1399,1,False,68.05,1,1,5,20.0,Hatchback,240000
62,Skoda,Rapid,"['1.0', 'TSI', 'Onyx']",20000,2021,2021,Agra,999,1,False,108.62,0,1,5,18.97,Sedan,930000
63,MG,Hector,"['Plus', 'Select', 'Diesel', 'MT', '7', 'STR']",20000,2022,2022,Agra,1956,1,False,167.67,1,1,7,16.56,SUV,1922000
64,Hyundai,EON,"['D', 'Lite']",50000,2013,2013,Agra,814,1,False,55.2,0,2,5,21.1,Hatchback,150000
65,Hyundai,Grand,"['i10', 'Magna']",30000,2015,2015,Agra,1197,1,False,82.0,0,1,5,18.9,Hatchback,380000
66,Tata,Punch,"['Adventure', 'BSVI']",30000,2021,2021,Agra,1199,1,False,86.63,0,1,5,20.09,SUV,590000
67,Volkswagen,Polo,"['1.5', 'TDI', 'Comfortline']",150000,2016,2016,Agra,1498,1,False,88.0,1,1,5,20.14,Hatchback,400000
68,Toyota,Etios,"['Liva', 'GD']",40000,2013,2013,Agra,1364,1,False,67.06,1,1,5,23.59,Hatchback,300000
69,Renault,Duster,"['85PS', 'Diesel', 'RxE']",120000,2017,2017,Agra,1461,1,False,83.8,1,1,5,19.87,SUV,500000
70,Maruti,Alto,"['800', 'LXI']",20000,2015,2015,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,210000
71,Maruti,Wagon,"['R', 'LX', 'Minor']",90000,2009,2009,Agra,998,1,False,67.1,0,2,5,18.9,Hatchback,100000
72,Mahindra,XUV500,"['W10', '2WD']",50000,2015,2015,Agra,2179,1,False,140.0,1,1,7,16.0,SUV,900000
73,Kia,Seltos,"['HTX', 'Diesel']",70000,2020,2020,Agra,1493,1,False,113.43,1,1,5,20.8,SUV,1349000
74,Maruti,Swift,"['Dzire', 'VDI']",50000,2019,2019,Agra,1248,1,False,74.02,1,1,5,28.4,Sedan,650000
75,Maruti,Wagon,"['R', 'LXI']",20000,2019,2019,Agra,998,1,False,67.05,0,1,5,21.79,Hatchback,475000
76,Nissan,Terrano,"['XE', '85', 'PS']",90000,2014,2014,Agra,1461,1,False,83.8,1,2,5,20.45,SUV,320000
77,Maruti,Swift,"['Dzire', 'VDI']",50000,2019,2019,Agra,1248,1,False,74.02,1,1,5,28.4,Sedan,650000
78,Hyundai,Grand,"['i10', 'Sportz']",60000,2015,2015,Agra,1197,1,False,82.0,0,2,5,18.9,Hatchback,370000
79,Maruti,Wagon,"['R', 'LXI', 'Minor']",90000,2009,2009,Agra,1061,1,False,67.0,0,2,5,18.9,Hatchback,110000
80,Chevrolet,Spark,"['1.0', 'LT', 'Option', 'Pack']",60000,2009,2009,Agra,995,1,False,63.0,0,2,5,16.0,Hatchback,50000
81,Ford,Figo,"['Titanium', 'Diesel']",60000,2020,2020,Agra,1499,1,False,98.96,1,2,5,24.4,Hatchback,550000
82,Honda,Jazz,"['1.5', 'E', 'i', 'DTEC']",90000,2015,2015,Agra,1498,1,False,98.6,1,2,5,27.3,Hatchback,390000
83,Hyundai,i10,"['Magna', '1.1L']",20000,2017,2017,Agra,1086,1,False,68.05,0,2,5,19.81,Hatchback,250000
84,Maruti,Alto,"['800', 'VXI']",80000,2013,2013,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,200000
85,Maruti,Swift,"['Dzire', 'VXI', 'BSVI']",10000,2022,2022,Agra,1197,1,False,88.5,0,1,5,22.41,Sedan,725000
86,Honda,Jazz,"['1.5', 'V', 'i', 'DTEC']",110000,2017,2017,Agra,1498,1,False,98.6,1,1,5,27.3,Hatchback,450000
87,Honda,City,"['i-DTEC', 'ZX']",120000,2017,2017,Agra,1498,1,False,97.9,1,1,5,25.6,Sedan,750000
89,Maruti,Alto,"['800', 'VXI']",80000,2013,2013,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,206000
90,Mahindra,XUV500,"['W8', '2WD']",120000,2015,2015,Agra,2179,1,False,140.0,1,1,7,16.0,SUV,550000
91,Maruti,Wagon,"['R', 'LXI', 'CNG']",150000,2012,2012,Agra,998,1,False,58.2,2,1,5,26.2,Hatchback,250000
92,Maruti,Alto,"['800', 'VXI']",80000,2013,2013,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,210000
94,Renault,KWID,['RXL'],60000,2016,2016,Agra,799,1,False,53.3,0,2,5,25.17,Hatchback,185000
95,Hyundai,Grand,"['i10', 'Sportz']",70000,2014,2014,Agra,1197,1,False,82.0,0,3,5,18.9,Hatchback,300000
96,Chevrolet,Spark,"['1.0', 'LT']",60000,2009,2009,Agra,995,1,False,62.0,0,3,5,18.0,Hatchback,50000
97,Chevrolet,Spark,"['1.0', 'LT']",60000,2009,2009,Agra,995,1,False,62.0,0,2,5,18.0,Hatchback,50000
98,Hyundai,Grand,"['i10', 'CRDi', 'Sportz']",100000,2013,2013,Agra,1120,1,False,70.0,1,2,5,24.0,Hatchback,250000
99,Maruti,SX4,"['ZXI', 'MT', 'BSIV']",120000,2012,2012,Agra,1586,1,False,103.3,0,2,5,15.5,Sedan,190000
100,Maruti,Swift,"['Dzire', 'VXI', '1.2']",40000,2019,2019,Agra,1197,1,False,81.8,0,1,5,21.21,Sedan,650000
101,Mahindra,Scorpio,"['VLX', 'SE', 'BSIV']",80000,2013,2013,Agra,2179,1,False,120.0,1,1,8,15.4,SUV,500000
102,Honda,Amaze,"['E', 'i-Dtech']",120000,2013,2013,Agra,1498,1,False,98.6,1,1,5,25.8,Sedan,190000
103,Maruti,Baleno,"['1.2', 'Zeta']",80000,2019,2019,Agra,1197,1,False,83.1,0,2,5,21.4,Hatchback,570000
104,Maruti,Swift,"['Dzire', 'ZDI']",80000,2014,2014,Agra,1248,1,False,74.0,1,2,5,23.4,Sedan,350000
105,Honda,City,"['i', 'DTEC', 'S']",120000,2014,2014,Agra,1498,1,False,98.6,1,4,5,26.0,Sedan,380000
106,Maruti,Vitara,"['Brezza', 'VDi']",100000,2019,2019,Agra,1248,1,False,88.5,1,1,5,24.3,SUV,780000
107,Renault,KWID,['STD'],20000,2018,2018,Agra,799,1,False,53.3,0,1,5,25.17,Hatchback,240000
108,Tata,Nexon,"['XM', 'BSVI']",10000,2021,2021,Agra,1199,1,False,118.35,0,1,5,17.33,SUV,840000
109,Ford,Ecosport,"['1.5', 'DV5', 'MT', 'Trend']",100000,2013,2013,Agra,1498,1,False,89.84,1,2,5,22.7,SUV,250000
110,Maruti,Swift,"['VDI', 'BSIV']",100000,2014,2014,Agra,1248,1,False,74.0,1,2,5,25.2,Hatchback,400000
111,Maruti,Wagon,"['R', 'LXI', 'Minor']",80000,2009,2009,Agra,1061,1,False,67.0,0,1,5,18.9,Hatchback,150000
112,Tata,Indica,"['Aqua', '1.3', 'Quadrajet']",70000,2009,2009,Agra,1248,1,False,75.0,1,2,5,18.0,Hatchback,100000
113,Mahindra,XUV500,['W7'],50000,2020,2020,Agra,2179,1,False,152.87,1,1,7,15.1,SUV,1275000
114,Datsun,GO,"['Plus', 'T', 'BSIV']",30000,2015,2015,Agra,1198,1,False,67.0,0,2,7,19.44,MUV,270000
115,Mahindra,XUV500,['W7'],50000,2020,2020,Agra,2179,1,False,152.87,1,1,7,15.1,SUV,1275000
116,Chevrolet,Beat,['Diesel'],70000,2012,2012,Agra,936,1,False,57.6,1,2,5,25.44,Hatchback,220000
117,Ford,Aspire,"['1.5', 'TDCi', 'Titanium']",50000,2017,2017,Agra,1498,1,False,99.0,1,1,5,25.83,Sedan,600000
118,Mahindra,XUV500,['W4'],50000,2016,2016,Agra,2179,1,False,140.0,1,1,7,16.0,SUV,900000
119,Maruti,Wagon,"['R', 'ZXI', '1.2']",20000,2019,2019,Agra,1197,1,False,81.8,0,1,5,20.52,Hatchback,495000
120,Mahindra,XUV300,"['W8', 'Option', 'AMT', 'BSVI']",60000,2022,2022,Agra,1197,1,True,108.62,0,1,5,16.5,SUV,980000
121,Kia,Seltos,"['GTX', 'DCT']",20000,2019,2019,Agra,1353,1,True,138.0,0,1,5,16.2,SUV,1375000
122,Maruti,Wagon,"['R', 'VXI', 'BS', 'IV']",40000,2015,2015,Agra,998,1,False,67.04,0,1,5,20.51,Hatchback,340000
123,MG,Hector,"['Sharp', 'DCT']",40000,2020,2020,Agra,1451,1,True,141.0,0,2,5,13.96,SUV,1300000
124,Tata,Nexon,"['1.2', 'Revotron', 'XT']",70000,2019,2019,Agra,1198,1,False,108.5,0,1,5,17.0,SUV,600000
125,Honda,Brio,"['V', 'MT']",60000,2012,2012,Agra,1198,1,False,86.8,0,1,5,19.4,Hatchback,300000
126,Renault,Fluence,"['Diesel', 'E4']",150000,2013,2013,Agra,1461,1,False,78.0,1,2,5,21.8,Sedan,500000
127,Toyota,Yaris,"['G', 'Optional']",40000,2020,2020,Agra,1496,1,False,105.94,0,1,5,17.1,Sedan,1099000
128,Honda,City,"['1.5', 'V', 'MT']",90000,2011,2011,Agra,1497,1,False,118.0,0,2,5,17.0,Sedan,350000
129,Renault,Triber,"['RXL', 'BSIV']",20000,2019,2019,Agra,999,1,False,72.0,0,1,7,20.0,MUV,434999
130,Maruti,Wagon,"['R', 'LXI', 'BS', 'IV']",100000,2012,2012,Agra,998,1,False,67.1,0,2,5,18.9,Hatchback,186000
131,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC']",20000,2022,2022,Agra,1196,1,False,61.68,2,1,5,20.88,Minivans,625000
132,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC']",20000,2022,2022,Agra,1196,1,False,61.68,2,1,5,20.88,Minivans,625000
133,Renault,Duster,"['110PS', 'Diesel', 'RxZ']",120000,2012,2012,Agra,1461,1,False,108.45,1,2,5,19.01,SUV,450000
134,Hyundai,i20,"['1.4', 'Asta']",80000,2017,2017,Agra,1396,1,False,88.73,1,1,5,22.54,Hatchback,650000
135,Maruti,Wagon,"['R', 'LXI', 'CNG']",150000,2018,2018,Agra,998,1,False,58.16,2,1,5,26.6,Hatchback,350000
136,Hyundai,i10,"['Magna', '1.2']",50000,2009,2009,Agra,1197,1,False,78.9,0,1,5,20.36,Hatchback,130000
137,Maruti,Swift,"['VDI', 'BSIV']",70000,2017,2017,Agra,1248,1,False,74.0,1,1,5,25.2,Hatchback,500000
138,Mahindra,Bolero,"['B6', 'Opt', 'BSVI']",10000,2021,2021,Agra,1493,1,False,74.96,1,1,7,16.0,SUV,950000
139,Hyundai,Creta,"['1.6', 'CRDi', 'SX']",120000,2017,2017,Agra,1582,1,False,126.2,1,3,5,19.67,SUV,700000
140,Ford,Fiesta,"['1.4', 'ZXi', 'TDCi', 'ABS']",120000,2009,2009,Agra,1399,1,False,68.0,1,3,5,17.8,Sedan,140000
141,Tata,New,"['Safari', 'DICOR', '2.2', 'LX', '4x2']",120000,2010,2010,Agra,2179,1,False,138.1,1,1,7,11.57,SUV,200000
142,Renault,KWID,"['Climber', '1.0', 'AMT']",20000,2018,2018,Agra,999,1,True,67.0,0,1,5,24.04,Hatchback,320000
143,Hyundai,i10,['Magna'],40000,2011,2011,Agra,1197,1,False,78.9,0,1,5,20.36,Hatchback,200000
144,Hyundai,i20,"['Magna', '1.2']",90000,2015,2015,Agra,1197,1,False,81.83,0,2,5,18.6,Hatchback,409999
145,Maruti,Swift,['VXI'],30000,2016,2016,Agra,1197,1,False,81.8,0,2,5,21.21,Hatchback,440000
146,Jeep,Compass,"['Model', 'S', 'DCT', 'BSVI']",20000,2022,2022,Agra,1368,1,True,160.77,0,1,5,14.1,SUV,2500000
147,Maruti,Swift,"['Dzire', 'VXI', '1.2']",40000,2019,2019,Agra,1197,1,False,81.8,0,1,5,21.21,Sedan,650000
148,Toyota,Glanza,['G'],30000,2020,2020,Agra,1197,1,False,81.8,0,1,5,21.01,Hatchback,630000
150,Maruti,Eeco,"['7', 'Seater', 'Standard', 'BSIV']",100000,2018,2018,Agra,1196,1,False,73.0,0,2,7,15.37,Minivans,350000
151,Honda,Amaze,"['S', 'Diesel', 'BSIV']",150000,2016,2016,Agra,1498,1,False,98.63,1,1,5,27.4,Sedan,400000
152,Chevrolet,Beat,['LT'],90000,2011,2011,Agra,1199,1,False,79.4,0,1,5,18.6,Hatchback,150000
153,Honda,Amaze,"['E', 'Diesel', 'BSIV']",150000,2016,2016,Agra,1498,1,False,98.63,1,1,5,27.4,Sedan,425000
154,Maruti,Swift,"['Dzire', 'VDI']",80000,2016,2016,Agra,1248,1,False,74.0,1,2,5,26.59,Sedan,425000
155,Maruti,Swift,"['Dzire', 'VXI']",70000,2017,2017,Agra,1197,1,False,83.14,0,2,5,20.85,Sedan,400000
156,Maruti,Swift,['VXI'],30000,2016,2016,Agra,1197,1,False,81.8,0,2,5,21.21,Hatchback,459999
157,Mahindra,KUV,"['100', 'mFALCON', 'D75', 'K8']",70000,2017,2017,Agra,1198,1,False,77.0,1,1,6,25.32,SUV,330000
158,Nissan,Magnite,"['XE', 'BSVI']",30000,2021,2021,Agra,999,1,False,71.02,0,1,5,18.75,SUV,470000
159,Hyundai,Creta,"['1.6', 'SX', 'Automatic', 'Diesel']",70000,2018,2018,Agra,1582,1,True,126.2,1,2,5,17.6,SUV,1150000
160,Maruti,Ciaz,"['Delta', 'BSVI']",60000,2020,2020,Agra,1462,1,False,103.25,0,2,5,20.65,Sedan,725000
161,Hyundai,i20,"['Active', '1.4', 'SX']",80000,2015,2015,Agra,1396,1,False,88.73,1,3,5,21.19,Hatchback,400000
162,Hyundai,Grand,"['i10', 'CRDi', 'Asta']",150000,2013,2013,Agra,1120,1,False,70.0,1,1,5,24.0,Hatchback,250000
163,MG,Astor,"['Sharp', 'BSVI']",40000,2022,2022,Agra,1498,1,False,108.49,0,1,5,15.43,SUV,1450000
164,Hyundai,i20,"['Sportz', '1.2']",40000,2020,2020,Agra,1197,1,False,81.83,0,1,5,18.6,Hatchback,690000
165,Hyundai,i20,"['Asta', '1.2']",120000,2015,2015,Agra,1197,1,False,81.83,0,4,5,18.6,Hatchback,350000
167,Hyundai,i20,"['Asta', '1.2']",120000,2015,2015,Agra,1197,1,False,81.83,0,4,5,18.6,Hatchback,350000
168,Hyundai,i20,"['Active', '1.4', 'SX']",80000,2015,2015,Agra,1396,1,False,88.73,1,3,5,21.19,Hatchback,400000
169,Maruti,Ertiga,['ZDI'],80000,2013,2013,Agra,1248,1,False,88.8,1,3,7,20.77,MUV,425000
170,Audi,Q3,"['2.0', 'TDI', 'Quattro', 'Premium', 'Plus']",80000,2014,2014,Agra,1968,1,True,174.33,1,2,5,15.73,SUV,1100000
171,Tata,Punch,"['Pure', 'Rhythm', 'BSVI']",10000,2022,2022,Agra,1199,1,False,86.63,0,1,5,20.09,SUV,600000
172,Hyundai,i20,['Magna'],150000,2009,2009,Agra,1197,1,False,80.0,0,3,5,18.5,Hatchback,150000
173,Honda,CR-V,"['2.4', '4WD', 'AT']",150000,2004,2004,Agra,2354,1,True,152.0,0,2,5,10.1,SUV,170000
174,Maruti,Wagon,"['R', 'LXI', 'CNG']",70000,2011,2011,Agra,998,1,False,58.2,2,4,5,26.2,Hatchback,160000
175,Hyundai,i20,['Magna'],150000,2009,2009,Agra,1197,1,False,80.0,0,2,5,18.5,Hatchback,140000
176,Skoda,Fabia,"['1.2', 'TDI', 'Active', 'Plus']",90000,2011,2011,Agra,1199,1,False,75.0,1,3,5,20.86,Hatchback,140000
177,Mahindra,Thar,"['LX', '4-Str', 'Hard', 'Top', 'Diesel', 'BSVI']",50000,2021,2021,Agra,2184,1,False,130.0,1,2,4,15.2,SUV,1500000
178,Maruti,Wagon,"['R', 'VXI', 'BS', 'IV']",60000,2011,2011,Agra,998,1,False,67.1,0,1,5,18.9,Hatchback,225000
179,Hyundai,i20,"['Petrol', 'Magna']",40000,2019,2019,Agra,1197,1,False,81.86,0,2,5,18.6,Hatchback,550000
180,Maruti,A-Star,['Vxi'],60000,2009,2009,Agra,998,1,False,66.1,0,1,5,19.0,Hatchback,140000
181,Maruti,Wagon,"['R', 'LXI', 'CNG']",20000,2017,2017,Agra,998,1,False,58.16,2,1,5,26.6,Hatchback,400000
182,Hyundai,Verna,"['CRDi', '1.6', 'SX', 'Option']",90000,2018,2018,Agra,1582,1,False,126.2,1,1,5,22.0,Sedan,900000
183,Honda,City,"['1.5', 'E', 'MT']",80000,2010,2010,Agra,1497,1,False,118.0,0,1,5,17.0,Sedan,315000
184,Ford,Ecosport,"['1.5', 'DV5', 'MT', 'Trend']",120000,2013,2013,Agra,1498,1,False,89.84,1,1,5,22.7,SUV,350000
185,Hyundai,EON,"['D', 'Lite', 'Plus']",100000,2013,2013,Agra,814,1,False,55.2,0,2,5,21.1,Hatchback,140000
186,Maruti,Baleno,['Delta'],30000,2021,2021,Agra,1197,1,False,81.8,0,1,5,21.01,Hatchback,700000
187,Toyota,Urban,"['cruiser', 'Premium', 'AT']",50000,2020,2020,Agra,1462,1,True,103.26,0,1,5,18.76,SUV,880000
188,BMW,3,"['Series', '320d']",100000,2010,2010,Agra,1995,1,True,170.0,1,2,5,13.2,Sedan,1000000
189,Maruti,Swift,"['VXI', 'with', 'ABS']",120000,2010,2010,Agra,1197,1,False,85.0,0,1,5,16.6,Hatchback,215000
190,Renault,Duster,"['110PS', 'Diesel', 'RxZ']",150000,2013,2013,Agra,1461,1,False,108.45,1,1,5,19.01,SUV,500000
191,Chevrolet,Tavera,"['2', 'LS', 'B4', '7', 'Str', 'BSIII']",150000,2012,2012,Agra,2499,1,False,80.0,1,2,7,14.8,MUV,240000
192,Tata,Zest,"['Quadrajet', '1.3', 'XM']",90000,2016,2016,Agra,1248,1,False,88.7,1,3,5,23.0,Sedan,320000
193,Maruti,Wagon,"['R', 'LXI', 'BS', 'IV']",150000,2012,2012,Agra,998,1,False,67.1,0,3,5,18.9,Hatchback,200000
194,Maruti,Wagon,"['R', 'LXI', 'Optional']",30000,2017,2017,Agra,998,1,False,67.04,0,1,5,20.51,Hatchback,400000
195,Maruti,Ritz,['VDi'],100000,2010,2010,Agra,1248,1,False,73.9,1,2,5,21.1,Hatchback,125000
196,Hyundai,i20,"['1.2', 'Asta']",50000,2018,2018,Agra,1197,1,False,81.83,0,1,5,18.6,Hatchback,500000
197,Tata,Tiago,"['1.05', 'Revotorq', 'XT']",70000,2017,2017,Agra,1047,1,False,69.0,1,1,5,27.28,Hatchback,380000
198,Chevrolet,Beat,['Diesel'],80000,2011,2011,Agra,936,1,False,57.6,1,1,5,25.44,Hatchback,150000
199,Hyundai,Grand,"['i10', '1.2', 'CRDi', 'Magna']",60000,2017,2017,Agra,1186,1,False,73.97,1,1,5,24.0,Hatchback,509999
200,Mahindra,Scorpio,"['VLX', 'SE', 'BSIV']",150000,2011,2011,Agra,2179,1,False,120.0,1,2,8,15.4,SUV,300000
201,Mahindra,Scorpio,"['VLX', 'SE', 'BSIV']",150000,2011,2011,Agra,2179,1,False,120.0,1,2,8,15.4,SUV,300000
202,Maruti,Wagon,"['R', 'VXI', 'BS', 'IV']",50000,2015,2015,Agra,998,1,False,67.04,0,3,5,20.51,Hatchback,250000
203,Maruti,Swift,"['Dzire', 'VDI']",120000,2015,2015,Agra,1248,1,False,74.0,1,3,5,26.59,Sedan,400000
